Unnamed: 0_level_0 Rk,Team,Unnamed: 2_level_0 Age,Unnamed: 3_level_0 W,Unnamed: 4_level_0 L,Unnamed: 5_level_0 PW,Unnamed: 6_level_0 PL,Unnamed: 7_level_0 MOV,Unnamed: 8_level_0 SOS,Unnamed: 9_level_0 SRS,Unnamed: 10_level_0 ORtg,Unnamed: 11_level_0 DRtg,Unnamed: 12_level_0 NRtg,Unnamed: 13_level_0 Pace,Unnamed: 14_level_0 FTr,Unnamed: 15_level_0 3PAr,Unnamed: 16_level_0 TS%,Unnamed: 17_level_0 Unnamed: 17_level_1,Offense Four Factors eFG%,Offense Four Factors TOV%,Offense Four Factors ORB%,Offense Four Factors FT/FGA,Unnamed: 22_level_0 Unnamed: 22_level_1,Defense Four Factors eFG%,Defense Four Factors TOV%,Defense Four Factors DRB%,Defense Four Factors FT/FGA,Unnamed: 27_level_0 Unnamed: 27_level_1,Unnamed: 28_level_0 Arena,Unnamed: 29_level_0 Attend.,Unnamed: 30_level_0 Attend./G,Season
1,Orlando Magic*,27.9,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,+8.1,92.0,.340,.350,.573,,.536,13.6,24.6,.246,,.477,12.2,77.4,.205,,Amway Arena,715901,17461,2009-10
2,Cleveland Cavaliers*,28.0,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,+7.1,91.4,.341,.248,.570,,.532,13.4,25.1,.246,,.482,12.3,77.2,.218,,Quicken Loans Arena,843042,20562,2009-10
3,Utah Jazz*,25.6,53,29,55,27,5.34,-0.01,5.33,110.7,105.0,+5.7,93.8,.340,.184,.565,,.524,14.2,26.8,.252,,.492,14.2,75.6,.269,,EnergySolutions Arena,794512,19378,2009-10
4,San Antonio Spurs*,28.7,50,32,55,27,5.09,-0.02,5.07,110.0,104.5,+5.5,91.7,.296,.232,.552,,.515,12.9,26.8,.219,,.483,12.1,76.3,.214,,AT&T Center,741676,18090,2009-10
5,Atlanta Hawks*,26.5,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,+5.2,90.1,.281,.214,.545,,.506,11.4,28.2,.213,,.496,13.2,72.7,.208,,Philips Arena,678375,16546,2009-10
6,Phoenix Suns*,28.5,54,28,54,28,4.90,-0.23,4.67,115.3,110.2,+5.1,95.3,.312,.261,.585,,.546,13.6,27.6,.240,,.491,11.6,70.8,.224,,US Airways Center,723582,17648,2009-10
7,Los Angeles Lakers*,28.4,57,25,54,28,4.72,0.06,4.78,108.8,103.7,+5.1,92.8,.289,.227,.538,,.496,12.4,27.6,.221,,.484,13.2,74.4,.195,,STAPLES Center,778877,18997,2009-10
8,Denver Nuggets*,27.7,53,29,52,30,4.09,0.06,4.15,111.8,107.5,+4.3,94.8,.376,.227,.561,,.509,12.7,26.1,.290,,.495,13.8,72.4,.251,,Pepsi Center,737301,17983,2009-10
9,Boston Celtics*,29.4,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,+3.9,91.6,.332,.228,.564,,.522,14.5,22.8,.248,,.487,14.9,73.8,.251,,TD Garden,763584,18624,2009-10
10,Portland Trail Blazers*,26.6,50,32,51,31,3.30,-0.13,3.18,110.8,107.1,+3.7,87.7,.315,.215,.547,,.499,12.1,28.2,.249,,.502,13.3,74.8,.219,,Rose Garden Arena,840371,20497,2009-10
,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,,2009-10
